rok,csfd,zanr
1944,0,EXPER
1945,0,EXPER
1946,0,EXPER
1947,0,EXPER
1948,0,EXPER
1949,0,EXPER
1950,0,EXPER
1951,0,EXPER
1952,0,EXPER
1953,0,EXPER
1954,0,EXPER
1955,0,EXPER
1956,0,EXPER
1957,0,EXPER
1958,0,EXPER
1959,0,EXPER
1960,0,EXPER
1961,0,EXPER
1962,0,EXPER
1963,1,EXPER
1964,0,EXPER
1965,1,EXPER
1966,1,EXPER
1967,2,EXPER
1968,0,EXPER
1969,0,EXPER
1970,1,EXPER
1971,0,EXPER
1972,1,EXPER
1973,0,EXPER
1974,0,EXPER
1975,0,EXPER
1976,0,EXPER
1977,0,EXPER
1978,0,EXPER
1979,0,EXPER
1980,0,EXPER
1981,1,EXPER
1982,0,EXPER
1983,0,EXPER
1984,0,EXPER
1985,0,EXPER
1986,0,EXPER
1987,0,EXPER
1988,0,EXPER
1989,0,EXPER
1990,2,EXPER
1991,1,EXPER
1992,0,EXPER
1993,0,EXPER
1994,0,EXPER
1995,0,EXPER
1996,0,EXPER
1997,0,EXPER
1998,1,EXPER
1999,1,EXPER
2000,2,EXPER
2001,0,EXPER
2002,2,EXPER
2003,0,EXPER
2004,0,EXPER
2005,0,EXPER
2006,2,EXPER
2007,1,EXPER
2008,0,EXPER
2009,0,EXPER
2010,0,EXPER
2011,0,EXPER
2012,0,EXPER
1911,0,FANTA
1912,0,FANTA
1913,0,FANTA
1914,0,FANTA
1915,0,FANTA
1916,0,FANTA
1917,0,FANTA
1918,0,FANTA
1919,0,FANTA
1920,2,FANTA
1921,3,FANTA
1922,1,FANTA
1923,0,FANTA
1924,4,FANTA
1925,3,FANTA
1926,2,FANTA
1927,0,FANTA
1928,0,FANTA
1929,0,FANTA
1930,0,FANTA
1931,2,FANTA
1932,3,FANTA
1933,1,FANTA
1934,0,FANTA
1935,1,FANTA
1936,2,FANTA
1937,3,FANTA
1938,1,FANTA
1939,2,FANTA
1940,2,FANTA
1941,1,FANTA
1942,3,FANTA
1943,1,FANTA
1944,6,FANTA
1945,2,FANTA
1946,6,FANTA
1947,3,FANTA
1948,0,FANTA
1949,3,FANTA
1950,3,FANTA
1951,1,FANTA
1952,2,FANTA
1953,1,FANTA
1954,3,FANTA
1955,1,FANTA
1956,5,FANTA
1957,4,FANTA
1958,3,FANTA
1959,3,FANTA
1960,5,FANTA
1961,5,FANTA
1962,8,FANTA
1963,8,FANTA
1964,7,FANTA
1965,6,FANTA
1966,11,FANTA
1967,4,FANTA
1968,10,FANTA
1969,7,FANTA
1970,11,FANTA
1971,5,FANTA
1972,11,FANTA
1973,6,FANTA
1974,10,FANTA
1975,9,FANTA
1976,9,FANTA
1977,15,FANTA
1978,8,FANTA
1979,3,FANTA
1980,11,FANTA
1981,11,FANTA
1982,17,FANTA
1983,14,FANTA
1984,15,FANTA
1985,22,FANTA
1986,15,FANTA
1987,21,FANTA
1988,20,FANTA
1989,17,FANTA
1990,17,FANTA
1991,19,FANTA
1992,15,FANTA
1993,21,FANTA
1994,19,FANTA
1995,19,FANTA
1996,16,FANTA
1997,7,FANTA
1998,14,FANTA
1999,11,FANTA
2000,16,FANTA
2001,17,FANTA
2002,16,FANTA
2003,15,FANTA
2004,18,FANTA
2005,15,FANTA
2006,15,FANTA
2007,14,FANTA
2008,11,FANTA
2009,15,FANTA
2010,11,FANTA
2011,10,FANTA
2012,21,FANTA
1911,0,FNOIR
1912,0,FNOIR
1913,0,FNOIR
1914,0,FNOIR
1915,0,FNOIR
1916,0,FNOIR
1917,0,FNOIR
1918,0,FNOIR
1919,0,FNOIR
1920,0,FNOIR
1921,0,FNOIR
1922,0,FNOIR
1923,0,FNOIR
1924,0,FNOIR
1925,0,FNOIR
1926,0,FNOIR
1927,0,FNOIR
1928,0,FNOIR
1929,0,FNOIR
1930,0,FNOIR
1931,2,FNOIR
1932,2,FNOIR
1933,0,FNOIR
1934,0,FNOIR
1935,0,FNOIR
1936,0,FNOIR
1937,1,FNOIR
1938,0,FNOIR
1939,0,FNOIR
1940,3,FNOIR
1941,4,FNOIR
1942,2,FNOIR
1943,2,FNOIR
1944,6,FNOIR
1945,9,FNOIR
1946,14,FNOIR
1947,15,FNOIR
1948,11,FNOIR
1949,11,FNOIR
1950,14,FNOIR
1951,7,FNOIR
1952,5,FNOIR
1953,4,FNOIR
1954,5,FNOIR
1955,8,FNOIR
1956,5,FNOIR
1957,1,FNOIR
1958,2,FNOIR
1959,0,FNOIR
1960,2,FNOIR
1961,0,FNOIR
1962,1,FNOIR
1963,0,FNOIR
1964,0,FNOIR
1965,0,FNOIR
1966,0,FNOIR
1967,0,FNOIR
1968,0,FNOIR
1969,0,FNOIR
1970,0,FNOIR
1971,0,FNOIR
1972,0,FNOIR
1973,0,FNOIR
1974,1,FNOIR
1975,0,FNOIR
1976,0,FNOIR
1977,0,FNOIR
1978,0,FNOIR
1979,0,FNOIR
1980,0,FNOIR
1981,0,FNOIR
1982,0,FNOIR
1983,0,FNOIR
1984,0,FNOIR
1985,0,FNOIR
1986,0,FNOIR
1987,0,FNOIR
1988,0,FNOIR
1989,0,FNOIR
1990,0,FNOIR
1991,0,FNOIR
1992,0,FNOIR
1993,0,FNOIR
1994,0,FNOIR
1995,0,FNOIR
1996,0,FNOIR
1997,0,FNOIR
1998,1,FNOIR
1999,0,FNOIR
2000,0,FNOIR
2001,0,FNOIR
2002,0,FNOIR
2003,0,FNOIR
2004,0,FNOIR
2005,0,FNOIR
2006,0,FNOIR
2007,0,FNOIR
