reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Riefenstahl, Leni",Pøehlídka národù,Olympia 1. Teil - Fest der Völker ,1938,Dokumentární/Sportovní,Nìmecko,Leni Riefenstahl,8.6,7.8,www.csfd.cz/film/101174-prehlidka-narodu/,www.imdb.com/title/tt0030522/,0.8
"Ejzenštejn, Sergej M. ",Køiník Potìmkin,Bronenosec Poomkin ,1925,Drama/Historickı/Váleènı,Sovìtskı svaz,Sergej M. Ejzenštejn,8.4,8,www.csfd.cz/film/32365-kriznik-potemkin/,www.imdb.com/title/tt0015648/,0.4
"Ejzenštejn, Sergej M. ",Stávka,Staèka ,1925,Drama,Sovìtskı svaz,Sergej M. Ejzenštejn,8.2,7.7,www.csfd.cz/film/32384-stavka/,www.imdb.com/title/tt0015361/,0.499999999999999
"Ejzenštejn, Sergej M. ","Deset dní, které otøásly svìtem",Oktyabr ,1928,Drama/Historickı,Sovìtskı svaz,"Grigorij Alexandrov, Sergej M. Ejzenštejn",8.3,7.6,www.csfd.cz/film/32380-deset-dni-ktere-otrasly-svetem/,www.imdb.com/title/tt0018217/,0.700000000000001
"Ejzenštejn, Sergej M. ",Generální linie,Staroje i novoje ,1929,Drama,"Sovìtskı svaz, USA","Grigorij Alexandrov, Sergej M. Ejzenštejn",8.4,7.1,www.csfd.cz/film/32385-generalni-linie/,www.imdb.com/title/tt0020451/,1.3
"Ejzenštejn, Sergej M. ",Alexandr Nìvskı,Alexandr Nìvskij ,1938,Váleènı,Sovìtskı svaz,"Sergej M. Ejzenštejn, Dmitrij Vasiljev",7.5,7.7,www.csfd.cz/film/32363-alexandr-nevsky/,www.imdb.com/title/tt0029850/,-0.2
"Ejzenštejn, Sergej M. ",Ivan Hroznı I.,Ivan Groznyj ,1944,Drama/ivotopisnı/Historickı,Sovìtskı svaz,Sergej M. Ejzenštejn,8.2,7.7,www.csfd.cz/film/32373-ivan-hrozny-i/,www.imdb.com/title/tt0037824/,0.499999999999999
"Ejzenštejn, Sergej M. ",Ivan Hroznı II.,Ivan Groznyj II: Skaz vtoroj - Bojarsky zagovor ,1945,Historickı/ivotopisnı,Sovìtskı svaz,Sergej M. Ejzenštejn,8.5,7.7,www.csfd.cz/film/32374-ivan-hrozny-ii/,www.imdb.com/title/tt0051790/,0.8
"Fellini, Federico",Svìtla varieté,Luci del varieta ,1950,Drama,Itálie,"Federico Fellini, Alberto Lattuada",7.9,7.1,www.csfd.cz/film/2609-svetla-variete/,www.imdb.com/title/tt0042692/,0.800000000000001
"Fellini, Federico",Bílı šejk,"Sceicco bianco, Lo ",1952,Komedie,Itálie,Federico Fellini,6.9,7.2,www.csfd.cz/film/2614-bily-sejk/,www.imdb.com/title/tt0044000/,-0.3
