Poslední štace	Letzte Mann, Der 	1924	Drama	Nìmecko	Friedrich W. Murnau	8.8	8.0	www.csfd.cz/film/6858-posledni-stace/	www.imdb.com/title/tt0015064/
Ten, jeho políèkují	He Who Gets Slapped 	1924	Drama / Thriller	USA	Victor Sjöström	8.8	7.7	www.csfd.cz/film/28794-ten-jehoz-polickuji/	www.imdb.com/title/tt0014972/
Zlodìj z Bagdádu	Thief of Bagdad, The 	1924	Akèní / Dobrodrunı / Rodinnı	USA	Raoul Walsh	8.5	7.7	www.csfd.cz/film/24029-zlodej-z-bagdadu/	www.imdb.com/title/tt0015400/
Ben Hur	Ben-Hur: A Tale of the Christ 	1925	Drama / Dobrodrunı / Romantickı / Historickı	USA	Charles Brabin, Rex Ingram, Fred Niblo	8.2	7.9	www.csfd.cz/film/42404-ben-hur/	www.imdb.com/title/tt0016641/
Bludištì lásky	Pleasure Garden, The 	1925	Drama / Krimi	Velká Británie / Nìmecko	Alfred Hitchcock	6.5	6.0	www.csfd.cz/film/4384-bludiste-lasky/	www.imdb.com/title/tt0016230/
Fantom opery	Phantom of the Opera, The 	1925	Drama / Horor	USA	Rupert Julian, Edward Sedgwick, Lon Chaney	7.7	7.7	www.csfd.cz/film/47765-fantom-opery/	www.imdb.com/title/tt0016220/
Go West 	Go West 	1925	Komedie / Western	USA	Buster Keaton	7.5	7.2	www.csfd.cz/film/5105-go-west/	www.imdb.com/title/tt0015863/
Køiník Potìmkin	Bronenosec Poomkin 	1925	Drama / Historickı / Váleènı	Sovìtskı svaz	Sergej M. Ejzenštejn	8.4	8.0	www.csfd.cz/film/32365-kriznik-potemkin/	www.imdb.com/title/tt0015648/
Lucerna 	Lucerna 	1925	Drama / Pohádka / Historickı / Fantasy	Èeskoslovensko	Karel Lamaè	7	NA	www.csfd.cz/film/5516-lucerna/	www.imdb.com/title/tt0165865/
Manasse	Manasse 	1925	NA	Rumunsko	Jean Mihail	4.3	7.4	www.csfd.cz/film/241640-manasse/	www.imdb.com/title/tt0016084/
On zázraènım studentem	Freshman, The 	1925	Komedie / Rodinnı / Sportovní	USA	Sam Taylor, Fred C. Newmeyer	8	7.6	www.csfd.cz/film/25149-on-zazracnym-studentem/	www.imdb.com/title/tt0015841/
Pán domu aneb Tyranùv pád	Du skal are din hustru 	1925	Komedie / Drama	Dánsko	Carl Theodor Dreyer	7.8	7.1	www.csfd.cz/film/104964-pan-domu-aneb-tyranuv-pad/	www.imdb.com/title/tt0015768/
Pøehlídka smrti	Big Parade, The 	1925	Drama / Romantickı / Váleènı	USA	King Vidor	8	8.0	www.csfd.cz/film/47489-prehlidka-smrti/	www.imdb.com/title/tt0015624/
Stávka	Staèka 	1925	Drama	Sovìtskı svaz	Sergej M. Ejzenštejn	8.2	7.7	www.csfd.cz/film/32384-stavka/	www.imdb.com/title/tt0015361/
Tartuffe	Tartüff 	1925	Drama	Nìmecko	Friedrich W. Murnau	8.3	7.2	www.csfd.cz/film/6855-tartuffe/	www.imdb.com/title/tt0017448/
Ulièka, kde není radosti	Freudlose Gasse, Die 	1925	Drama	Nìmecko	Georg Wilhelm Pabst	8	7.2	www.csfd.cz/film/27818-ulicka-kde-neni-radosti/	www.imdb.com/title/tt0015842/
Vìjíø lady Windermerové	Lady Windermere's Fan 	1925	Komedie / Drama	USA	Ernst Lubitsch	7.7	7.4	www.csfd.cz/film/6118-vejir-lady-windermerove/	www.imdb.com/title/tt0016004/
Visages d'enfants 	Visages d'enfants 	1925	Drama / Mysteriózní / Romantickı	Francie / Švıcarsko	Jacques Feyder	9.3	7.5	www.csfd.cz/film/130349-visages-d-enfants/	www.imdb.com/title/tt0016491/
Wizard of Oz 	Wizard of Oz 	1925	Komedie / Rodinnı / Fantasy / Dobrodrunı	USA	Larry Semon	7.5	5.1	www.csfd.cz/film/74580-wizard-of-oz/	www.imdb.com/title/tt0016544/
Zlaté opojení	Gold Rush, The 	1925	Komedie / Rodinnı	USA	Charles Chaplin	8.6	8.2	www.csfd.cz/film/1471-zlate-opojeni/	www.imdb.com/title/tt0015864/
Ztracenı svìt	Lost World, The 	1925	Dobrodrunı / Fantasy / Sci-Fi / Horor	USA	Harry O. Hoyt	7.4	6.9	www.csfd.cz/film/80313-ztraceny-svet/	www.imdb.com/title/tt0016039/
Dobrodruství prince Achmeda	Abenteuer des Prinzen Achmed, Die 	1926	Animovanı / Dobrodrunı / Fantasy / Romantickı	Nìmecko	Lotte Reiniger	8.4	7.7	www.csfd.cz/film/210646-dobrodruzstvi-prince-achmeda/	www.imdb.com/title/tt0015532/
Falešná koèièka aneb Kdy si ena umíní 	Falešná koèièka aneb Kdy si ena umíní 	1926	Komedie	Èeskoslovensko	Svatopluk Innemann	6.6	7.2	www.csfd.cz/film/23450-falesna-kocicka-aneb-kdyz-si-zena-umini/	www.imdb.com/title/tt0279805/
